variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	spi_formula	spi_monoisotopic	spi_name	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot	inchi	inchikey	pubchem	chebi	hmdb	kegg	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_Bio	supp_QC	supp_Blanc	supp_blankMean_over_sampleMean	supp_pool_CV	supp_poolCV_over_sampleCV	supp_poolDil_cor	supp_poolDil_pval	supp_redund_samp_mean	supp_redund_is	supp_redund_repres	supp_redund_relative
M656.0827T412_4	c18hyper	M656.0827T412_4	656.082744302898	411.836542295597			88	NA															656.079138515229	656.084091219653	410.928216513827	412.769941676124	56	38	18	0	2.92244993919557e-05	0.0958347755294463	0.366191044416184	0.986363604378495	3.62954728267849e-09	34265.9361358426	0		
M656.2259T412_5	c18hyper	M656.2259T412_5	656.225907916907	412.035635087143		[M+H+CF3COOH]+ 521.239 [M+Na]+ 633.233	88	NA															656.222273326919	656.227549252676	410.928216513827	412.558454840095	57	38	19	0	4.59780228759566e-05	0.165451862972616	0.505035891978829	0.951881599160943	1.87350384742903e-06	21760.3822984852	0		
M656.2484T394_6	c18hyper	M656.2484T394_6	656.248399643846	393.79944436891		[2M+Na+3K-H]3+ 914.937 [2M+3Na+K-H]3+ 930.911	74	NA															656.24429792954	656.251829210212	392.805704337684	394.660222506293	52	39	13	0	0.00633544770154783	0.22673803733337	0.879918686666767	0.92326918493328	1.83964634944204e-05	31457.5814373858	0		
M656.3691T412_6	c18hyper	M656.3691T412_6	656.369074641751	411.778285590853		[M+K]+ 617.41	88	NA															656.364969984925	656.371103145505	410.928905108732	412.859598337397	44	33	11	0	8.04167263546585e-05	0.157830512422544	0.478976554305836	0.955655129323094	1.25341776658096e-06	12448.5623479777	0		
M656.8653T384_1	c18hyper	M656.8653T384_1	656.865313335283	384.190251294045		[M+H]+ 655.854	86	NA															656.862671562253	656.867456213682	383.420809373639	385.904065372389	20	6	14	0	0.0507733751636019	0.158417623260896	0.0920182990272193	0.984233597821491	7.47251975046493e-09	10427.84175722	0		
M656.9769T384_3	c18hyper	M656.9769T384_3	656.976858259605	384.233375099688		[M+H-CO2]+ 699.951	86	NA															656.973936996391	656.97815537982	382.372481160443	385.470381776268	29	14	14	1	0.128587511171614	0.221129534695088	0.127209444170181	0.983317901728531	9.89442413940728e-09	23196.0544517796	0		
M657.0325T384_4	c18hyper	M657.0325T384_4	657.032485301439	384.185754844106			86	NA															657.02985813393	657.033693863823	383.77548063501	385.166160711904	25	10	14	1	0.120081073708422	0.266757328158246	0.154463825754796	0.992463352628762	1.89094322562534e-10	26815.5109759856	0		
M657.088T384_5	c18hyper	M657.088T384_5	657.087973618635	384.291691489289		[M+H]+ 656.079 [M+H-CO2]+ 700.071	86	NA															657.083812198929	657.08958246319	368.649819075474	387.654201555874	30	14	16	0	0.0474028296406683	0.205382935794971	0.118717043963882	0.994026932470202	5.92801522728298e-11	28730.8458345693	0		
M657.1437T384_6	c18hyper	M657.1437T384_6	657.143700560344	384.243811520457		[M+Na+NaCOOH]+ 566.151	86	NA															657.140917549556	657.144915345529	383.320257695085	385.382595680658	30	11	18	1	0.113836282255683	0.235087621989901	0.134732432733225	0.980363103148381	2.22509112589235e-08	25658.0771258995	0		
M657.2922T328	c18hyper	M657.2922T328	657.292224483218	327.97624168153		[3M+H+K]2+ 424.859 [3M+2H]2+ 437.512	16	NA															657.289170458758	657.294016383274	327.351638004513	328.390332017704	31	18	13	0	0.000370668130337169	0.281213810827064	0.241227979427693	0.964209961232231	4.35489518587013e-07	2693.11363141257	0		
