variableMetadata	chromato	name	chebi_id	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	mixomics_LAT	mixomics_MX2	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M108.5369T0.72_1	c18acqui			0.128583620092336	0.841910865448782	0	-0.15356956958302	0.401596929426675	0	-0.0487565513351491	0.981038714261375	0	-0.226840192419477	0.21183852426382	0	1.24590332462674	0.42977657476398	E	E	E	E	E	E	0	0	NA		M109T43_1	108.536908371716	43.1908022944057			14	1	@M90.5258T0.72_1|+(H2O)
M125.9862T0.72_1	c18acqui			0.155751834341761	0.82316671187793	0	-0.150642936541793	0.493198359963454	0	-0.00628737038079308	0.999189346311541	0	-0.262857835929651	0.188740507825698	0	1.47233884211831	0.102326362941362	E	E	E	E	E	E	0	0	NA		M126T43_1	125.986210813523	43.1492157001229	[165][M]+		14	1	@M84.9596T0.72_2|+(CH3CN)|+(C2H3N)|@M126.9895T0.72_1|-13C|@M143.9968T0.72_1|-(H2O)|@M167.0127T0.72|-(CH3CN)|-(C2H3N)
M126.9895T0.72_1	c18acqui			0.162217594790514	0.805256550188451	0	-0.150814439609057	0.484540885147893	0	-0.0014479292408982	0.995054109066654	0	-0.258881929427979	0.199942199328339	0	1.49936616117539	0.137192596808905	E	E	E	E	E	E	0	0	NA		M127T43_1	126.989475658192	43.1591901605617	[165][M+1]+		14	1	@M84.9596T0.72_2|+(C2H4N.)|@M85.963T0.72_3|+(CH3CN)|+(C2H3N)|@M125.9862T0.72_1|+13C|@M214.9174T0.72|-4Na
M143.9968T0.72_1	c18acqui			0.167447465666839	0.80487273336688	0	-0.154807687494529	0.484173400019716	0	-0.00701146760122384	0.999189346311541	0	-0.244776698945753	0.218548777954911	0	1.54075291421349	0.122975457988176	E	E	E	E	E	E	0	0	4		M144T43_1	143.99683071454	43.1536459755301	[196][M]+		14	1	@M72.0089T0.72_4|+(CO2)+(CO)|@M102.9706T0.72_3|+(CH3CN)|+(C2H3N)|@M125.9862T0.72_1|+(H2O)
M167.0127T0.72	c18acqui			0.12359082041494	0.872307478065683	0	-0.16163257356817	0.409690197643874	0	-0.000740700498855773	0.995054109066654	0	-0.273190729451489	0.126223699924765	0	1.26693337500867	0.00236247147382746	E	E	E	E	E	E	0	0	4		M167T43	167.012715984785	43.138203337595	[250][M]+		14	1	@M125.9862T0.72_1|+(CH3CN)|+(C2H3N)
M214.9174T0.72	c18acqui			0.161599018992552	0.896764393982279	0	-0.226543005028091	0.501561536200381	0	0.0457270438725814	0.984214873014425	0	-0.390653887496407	0.218979141010018	0	1.07883038390553	0.184124969227768	E	E	E	E	E	E	0	0	4		M215T43	214.917438348737	43.1403180358466	[379][M]+	[3M+2K-H]+ 45.9958 [3M+2K-H]+ 45.9958	14	1	@M126.9895T0.72_1|+4Na|@M232.9278T0.72|-(H2O)
M232.9278T0.72	c18acqui			0.156456839941397	0.897556420022843	0	-0.290419062208436	0.31458450673516	0	0.0209246442239088	0.987930387740799	0	-0.403463869481168	0.146856215525642	0	1.12331447260593	0.125756581226043	E	E	E	E	E	E	0	0	4		M233T43	232.927780717993	43.1447668679848		[M+K]+ 193.964	14	1	@M214.9174T0.72|+(H2O)
M67.0213T0.72	c18acqui			0.0803557596877091	0.809977489719793	0	0.0626256616939003	0.556054679971806	0	-0.0766683812518991	0.94703124046448	0	-0.0178942170319303	0.934968608374304	0	1.64411460029508	0.910273880384602	E	E	E	E	E	E	0	0	NA		M67T43	67.0213452857534	43.1751383730992			14	2	@M111.0098T0.72_3|-(CO2)
M71.0289T0.72_4	c18acqui			0.0836721276443058	0.800055697572617	0	0.0746054188279182	0.424402675583696	0	-0.0474797417297133	0.966905446751008	0	0.0313391672239689	0.822632782690725	0	1.74026134464729	0.900813017489943	E	E	E	E	E	E	0	0	4		M71T43_4	71.0289375827346	43.1790911213774			14	2	@M71.5296T0.72_2|-13Cdb|@M72.0278T0.72_5|-13C|-15N|@M74.0324T0.72_4|-13C-37Cl|-13C-18O|-13C-34S|@M151.0352T0.72_3|-2(H2O)-(CO2)
M71.5296T0.72_2	c18acqui			0.123683550881292	0.729927990547079	0	0.0398582324177781	0.69234897126262	0	-0.0369524671549328	0.974330332819913	0	-0.000464970471398374	0.996138030358327	0	2.22203415667934	0.666059105705199	E	E	E	E	E	E	0	0	4		M72T43_2	71.5295513848713	43.1777953780273	[19][M]+		14	2	@M71.0289T0.72_4|+13Cdb|@M72.0278T0.72_5|-13Cdb|@M74.5305T0.72_2|-13C-37Cl|-13C-34S
M72.0278T0.72_5	c18acqui			0.103915499310407	0.763338837694751	0	0.0652830707775998	0.489373767912592	0	-0.0451804623390686	0.974330332819913	0	0.0278315530152575	0.848817532313469	0	1.98622704904082	0.834849425942681	E	E	E	E	E	E	0	0	4		M72T43_5	72.0278306915312	43.1751383730992		[M+Na]+ 49.0356	14	2	@M71.0289T0.72_4|+13C|+15N|@M71.5296T0.72_2|+13Cdb
M73.5316T0.72_1	c18acqui			0.0999229468216569	0.78446957373279	0	0.0455297555101382	0.640822539658319	0	-0.0730791516624478	0.937224211457378	0	-0.00207237608270461	0.996837573679213	0	1.92275638263587	1.09008247250543	E	E	E	E	E	E	0	0	4		M74T43_1	73.5316272343113	43.1591901605617			14	2	@M74.0324T0.72_4|-13Cdb|@M74.5305T0.72_2|-13C|-15N
M74.0324T0.72_4	c18acqui			0.0874156459534952	0.800055697572617	0	0.056269990096915	0.590182350313608	0	-0.0652070857444613	0.948329403053375	0	0.000328530581235498	0.985846241379626	0	1.68662064846079	0.91966075087185	E	E	E	E	E	E	0	0	4		M74T43_4	74.0323875566939	43.1586332057495	[24][M]+		14	2	@M71.0289T0.72_4|+13C+37Cl|+13C+18O|+13C+34S|@M73.5316T0.72_1|+13Cdb|@M74.5305T0.72_2|-13Cdb|@M92.0429T0.72_5|-(H2O)
M74.5305T0.72_2	c18acqui			0.113036355511269	0.751950152987232	0	0.0702668940935354	0.460922406295278	0	-0.0397536941247871	0.974330332819913	0	0.00371686778773395	0.977178867933952	0	2.20274248219007	0.602572260588299	E	E	E	E	E	E	0	0	4		M75T43_2	74.5305071418344	43.1593279608189		[M+H-CH4]+ 89.5606	14	2	@M71.5296T0.72_2|+13C+37Cl|+13C+34S|@M73.5316T0.72_1|+13C|+15N|@M74.0324T0.72_4|+13Cdb|@M92.5413T0.72_2|-(H2O)
M80.0342T0.72_3	c18acqui			0.112770521323142	0.766805570757956	0	0.0402416084229635	0.712440762286744	0	-0.0661983396107502	0.948329403053375	0	-0.00835005901963726	0.975513773587543	0	2.0117052857517	0.956286115826822	E	E	E	E	E	E	0	0	4		M80T43_3	80.0342372084438	43.1777953780273			14	2	@M81.0331T0.72_4|-13C|-15N|@M83.0377T0.72_7|-13C-37Cl|-13C-18O|-13C-34S|@M151.0352T0.72_3|-(C2HNO2)
M80.5347T0.72_2	c18acqui			0.125340032582223	0.747397953433997	0	0.0523715151187218	0.622227476924548	0	-0.0587996510288491	0.964462828346848	0	-0.00427688703419449	0.990263621671627	0	1.99199739782737	0.935955654331763	E	E	E	E	E	E	0	0	4		M81T43_2	80.5347224294208	43.1777953780273			14	2	@M82.537T0.72_2|-18O|-41K|-13C2|@M83.5359T0.72_2|-13C-37Cl|-13C-34S
M81.0331T0.72_4	c18acqui			0.111311581368241	0.78446957373279	0	0.0571045787292057	0.600724925014636	0	-0.0595143522892485	0.964462828346848	0	0.0138546316937251	0.93289244416436	0	1.97897813512091	0.849514990745225	E	E	E	E	E	E	0	0	4		M81T43_4	81.0331121624182	43.1924263577195			14	2	@M80.0342T0.72_3|+13C|+15N
M82.0137T0.72_2	c18acqui			0.0839920370426377	0.803221567360953	0	0.0577474225191068	0.584570805714423	0	-0.0676441091477642	0.94777135362595	0	0.0146022858669141	0.916005145338135	0	1.72933883446075	1.01894678966837	E	E	E	E	E	E	0	0	4		M82T43_2	82.0136852825858	43.1751383730992	[37][M]2+		14	2	@M128.0193T0.72_3|-(HCOOH)|-(H2O-CO)|@M146.0301T0.72_3|-(H2O)-(HCOOH)
M82.537T0.72_2	c18acqui			0.124620131756547	0.751950152987232	0	0.0649661389730731	0.538309573806551	0	-0.0596956324716587	0.964462828346848	0	0.00485140819382934	0.970373805892994	0	2.06145373335231	0.873887357774486	E	E	E	E	E	E	0	0	4		M83T43_2	82.5370076216949	43.1728859959694			14	2	@M80.5347T0.72_2|+18O|+41K|+13C2|@M83.0377T0.72_7|-13Cdb|@M83.5359T0.72_2|-13C|-15N
M84.0373T0.72_5	c18acqui			0.14457515159749	0.728486054849169	0	0.0307232113759142	0.783104217253063	0	-0.0945783300162297	0.912197442946643	0	-0.0358267514597088	0.854917828139735	0	2.22243300554904	1.19022922731419	E	E	E	E	E	E	0	0	4		M84T43_5	84.037308363529	43.1764996346772	[41][M+1]+		14	2	@M83.0377T0.72_7|+13C|+15N|@M83.5359T0.72_2|+13Cdb
M91.5423T0.72_2	c18acqui			0.150958717313902	0.647676346168584	0	0.0594185067624586	0.555651501950125	0	-0.0603708129826757	0.964462828346848	0	0.00480130479255081	0.969971090845143	0	2.41457707771829	0.887927181012039	E	E	E	E	E	E	0	0	4		M92T43_2	91.5423493414667	43.1790911213774		[M+H-H20]+ 108.548	14	2	@M92.0429T0.72_5|-13Cdb|@M92.5413T0.72_2|-13C|-15N
