variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	spi_formula	spi_monoisotopic	spi_name	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot	inchi	inchikey	pubchem	chebi	hmdb	kegg	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	PCA_xload-p1_LAT	PCA_xload-p2_LAT	OPLSDA_xload-p1_LAT	OPLSDA_xload-o1_LAT	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-ortho_LAT	OPLSDA_coef_LAT	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	PCA_xload-p1_MX2	PCA_xload-p2_MX2	OPLSDA_xload-p1_MX2	OPLSDA_xload-o1_MX2	OPLSDA_VIP-pred_MX2	OPLSDA_VIP-ortho_MX2	OPLSDA_coef_MX2	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_Bio	supp_QC	supp_Blanc	supp_blankMean_over_sampleMean	supp_pool_CV	supp_poolCV_over_sampleCV	supp_poolDil_cor	supp_poolDil_pval	supp_redund_samp_mean	supp_redund_is	supp_redund_repres	supp_redund_relative
M563.177T538	hilic	M563.177T538	563.176983599358	538.034885283051			15	NA															-0.91346580559183	0.0164538279797971	1	0.365004357309921	0.478218820713121	0	-0.00419698932883702	0.0188853716982816	0.0269012852281515	-0.0148961376555141	1.34770338034636	0.622708528074029	0.00122676461520175	E	E	E	-0.769854885866447	0.093061394012025	0	0.41870584449768	0.25222543890535	0	0.0140663003644588	0.0329326537707747	0.0409524019415895	0.0275487490887817	2.02477810393696	1.16969815080993	0.00295771093656663	E	E	E	563.176144729381	563.178842700504	536.944426769045	539.100337871085	63	42	21	0	5.27128122044392e-06	0.166062992490742	0.305190449684606	0.975078349973727	7.26121895051442e-08	190086.863020959	0		
M565.5226T78	hilic	M565.5226T78	565.522575862651	77.6475648151725	[706][M+2]-		3	NA															-0.564294994136407	0.185715950049083	0	-0.0209425469281008	0.912299140963697	0	-0.00537145731620035	0.0292026642101102	0.0211576711245537	0.00981796917290263	1.05995920466202	0.410424049087065	0.000789562200966369	E	E	E	0.021444626409334	0.967291947274708	0	-0.192900115570858	0.73399956287836	0	0.000843359720757218	-0.0396830921255593	-0.00230402923120729	-0.0496822537658239	0.113916344756362	2.10946929643416	-8.28497505329947e-05	E	E	E	565.521200412443	565.52571950708	76.2165383860887	78.9311664807911	55	40	15	0	3.89670428092442e-06	0.15860207445559	0.309271336289147	0.980372474302327	2.2198218128961e-08	255741.662498813	0		
M566.14T518	hilic	M566.14T518	566.140015711006	517.994869131768			784	NA															-0.204829937995376	0.804537852814302	0	0.894771053393207	0.0359028729841449	1	-0.0196896511081769	0.00310158653162222	0.00707128248286857	0.0305562345344986	0.354257843992266	1.27735311464573	0.000286911119507712	E	E	E	0.417933019575599	0.583156878220278	0	0.73432427594765	0.179454508518327	0	-0.0186472306755398	-0.0175212335760184	-0.0173896873562453	-0.0130713155860153	0.859784933822818	0.55499774673403	-0.00126321768255323	E	E	E	566.138999269306	566.142270319802	516.99662402771	519.172705254013	59	38	21	0	3.01205605784046e-05	0.113488580786805	0.209529329452385	0.918975357511195	2.39754657218468e-05	33150.1872133056	0		
M569.7288T1027	hilic	M569.7288T1027	569.728846509482	1026.98471152762	[709][M+1]-		27	NA															-0.0196070803318698	0.886915886737995	0	-0.236045184420979	0.189327755103526	0	0.0202827157592345	0.0173241296814076	0.00347234422800877	-0.0256808365831203	0.173957861645822	1.07354512412584	7.22166675421107e-05	E	E	E	0.0473433503163356	0.767765333050972	0	-0.107518721692713	0.449007898318119	0	0.0219639541092487	-0.0181121946113063	-0.00754155915503644	-0.0296190281093834	0.372871507474524	1.25760056460934	-0.000685094385934574	E	E	E	569.727570919593	569.731903581349	1024.31777485626	1029.34387116194	51	39	12	0	7.85833801123774e-05	0.145105862597818	0.780828494154067	0.985500985658583	4.92514642565543e-09	12774.1042460016	0		
M570.145T539	hilic	M570.145T539	570.144965961707	539.42478716162		[M+Cl]- 535.177	15	NA															1.7292916386184	7.00001798495271e-05	1	-0.325217805460049	0.677519870398421	0	0.0143704097217254	-0.027970294087672	-0.0358382811573316	0.00115188982928977	1.7954299302769	0.0481528592638212	-0.00174095367677535	E	E	E	0.293850155368817	0.667121585545759	0	-0.866545040183663	0.121128533288707	0	-0.00223692018874642	0.0139321988441275	-0.0180881204015298	0.0263030519154656	0.894317021566417	1.11680683166504	-0.000811267597164307	E	E	E	570.144015600999	570.147235322916	537.550120308803	540.376605944403	56	35	21	0	2.38970810304881e-05	0.119838243127701	0.18688180407435	0.959548096653622	7.96962100685211e-07	41973.2533937449	0		
M570.1941T233	hilic	M570.1941T233	570.194122291894	233.382121244073		[M+Cl]- 535.223	6	NA															-1.04653090507592	0.000181636939277748	1	0.0173354550254956	0.871855104067804	0	-0.00872182914939098	0.0325748620771195	0.0383305074553932	-0.00910184536657549	1.92028574210892	0.380487671505882	0.00167298845884599	E	E	E	-0.179386696678542	0.72079446275022	0	-0.441189452239868	0.225298353702829	0	0.0229766459699696	0.028880864414911	0.0118624573847814	0.0365264828659207	0.586506354519788	1.55088564370627	0.000853299346306035	E	E	E	570.193090623882	570.196267990975	216.98762102549	239.362811050824	67	42	18	0	1.57960660269956e-06	0.195147027162623	0.38015802855815	0.979017354332304	3.09245271909466e-08	633488.391871331	0		
M571.2328T428	hilic	M571.2328T428	571.232810087774	428.3355192795		[2M-H]- 286.118	8	NA															-0.00606239892692884	0.912319985018621	0	1.82343329935856	0.015389629178361	1	-0.0251949612204112	-0.0149828617641365	-0.000716265050350997	0.034760704501019	0.035883520857651	1.45311406454633	4.49390803180301e-06	E	E	E	-0.131884910114238	0.872512879110775	0	0.819530865722781	0.265297559827668	0	-0.0238141035762294	0.0261680130480758	-0.00133966093392247	0.0342762681042144	0.0662358249358568	1.45534330030583	0.000310842993328345	E	E	E	571.23188173586	571.234952696502	426.879095416559	430.529116904167	44	30	14	0	0.00072088639465908	0.17993602430373	0.26567655628095	0.975813876227588	6.25884699967211e-08	43902.5638396472	0		
M573.1191T621	hilic	M573.1191T621	573.119082433861	621.135422961253		[M+Cl]- 538.143 [M-H]- 574.121	24	NA															-0.66617593224929	0.335144473174763	0	0.730428088168452	0.274352142327103	0	-0.012080067821238	0.00475755448276159	0.0168534000132528	0.00244614639048759	0.844323383643438	0.102257125538194	0.000650255713202691	E	E	E	-0.390446748461645	0.641111276074369	0	0.00629024614462281	0.980982233923943	0	0.00774757038345038	0.0389016218151665	0.0131862875582596	0.0457829312198696	0.651959471345824	1.94390713763286	0.00106461711978865	E	E	E	573.117973003942	573.120794406737	620.171831337406	622.402234059995	59	40	19	0	2.70442648334486e-05	0.299876516662044	0.406630029733347	0.971948983712407	1.30490952688478e-07	37139.9055350628	0		
M575.6856T1027	hilic	M575.6856T1027	575.68559393939	1026.60010017247	[714][M+1]-		27	NA															0.099743487217582	0.596077479271431	0	-0.245946993092494	0.0851386179187738	0	0.0310808927806904	0.0149429696189571	-0.00369941143680072	-0.0360991326735703	0.185333498246801	1.50906485236372	-0.00047333298497925	E	E	E	0.113617278296745	0.423287607614361	0	-0.174806603371113	0.105225855685571	0	0.015438373977045	-0.019529060906848	-0.0192587351185131	-0.0164985727132587	0.95219482444779	0.70051638030855	-0.00169761801240952	E	E	E	575.684419736202	575.687479309989	1025.14964059726	1030.45049632478	47	35	12	0	4.5153292785928e-05	0.11809725426745	0.745218553408289	0.989649115060627	9.19667716719293e-10	22151.2790274617	0		
M576.6847T1027	hilic	M576.6847T1027	576.684675744335	1026.713395072	[714][M+2]-		27	NA															0.0375644070954948	0.881464463629174	0	-0.159133959790672	0.183001734856202	0	0.0252669903200093	0.0198038177557495	0.00149880149812973	-0.027553758770033	0.0750871130641673	1.15183955488239	-0.00023255135131503	E	E	E	0.0907918281013949	0.404506173232618	0	-0.0918011660386462	0.288771261319629	0	0.0187615080834691	-0.0175711083602072	-0.0257015261928946	-0.0202183725438477	1.27074078700829	0.858456146255847	-0.00209083808253793	E	E	E	576.683436205067	576.68656824435	1025.3895464833	1034.36626845479	62	41	21	0	1.87368503175946e-05	0.064917022963847	0.566525533511779	0.995435025673152	1.54929865916864e-11	53468.0302936894	0		
M578.1388T153	hilic	M578.1388T153	578.138793238871	152.501983026911			23	NA															0.38892345152022	0.512316557214246	0	1.29289531444326	0.0595911592083537	0	-0.0137900872898673	-0.0238506421071105	-0.00977801798800701	0.0164569210914562	0.48986016035153	0.687954511866214	-0.000332487809560616	E	E	E	-0.129675665827829	0.842622899824875	0	1.33257053934042	0.0244210993237976	1	-0.0120059488450189	0.0251477040425474	0.000489801467998369	0.023081331410515	0.0242168771710582	0.980015120908138	0.000303651542068194	E	E	E	578.137772960032	578.140556639365	150.51930374764	153.910250269337	60	39	21	0	5.8293042174398e-05	0.161024416315036	0.271978045082401	0.910012179740167	3.98928342263201e-05	17136.6105441098	0		
M578.1778T306	hilic	M578.1778T306	578.177789242186	305.89124024595			9	NA															-0.314161974476391	0.24358390953343	0	-0.412205490284624	0.157704655545054	0	0.0171766752334345	0.0247604233004975	0.0177207357540206	-0.0344736256819198	0.887775259634284	1.44111320680612	0.000626974655995421	E	E	E	-0.287388160760585	0.645634140184592	0	-0.437272756042226	0.386854698884219	0	0.0315028195545954	0.0212973802953053	0.0171989428661434	0.0229726493085371	0.850354100741139	0.975400564606508	0.00107417608476478	E	E	E	578.176888312376	578.17972211508	291.498359164345	312.410257115159	55	39	15	0	7.36345081516778e-06	0.188266496573795	0.365856653436549	0.959991133564492	7.54831056027407e-07	136616.173632457	0		
