variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	BiH_base_POS_QTof_Plasma.txt_.MzDelta_Query.Bank.0.005Da..MzBank.RtQuery.RtDelta_Query.Bank.0.2min...RtBank.name.M.Formule.M.H..M.H...th.Intensite...Tr.Masse.Exp.Delta.ppm.	BiH_Pool_Qtof_Pos_plasma.txt_.MzDelta_Query.Bank.0.005Da..MzBank.RtQuery.RtDelta_Query.Bank.0.2min...RtBank.G.N.compound.composition.Formule.M.H...M.H....Th...TR.Masse.exo.delta.ppm.	BiH_DB_Lipids_POS.MzDelta_Query.Bank.0.005Da..MzBank.m.z..M.H...Formule.Brute..M..Annotation..Lipid.class.and.subclass.RT.min..	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	PCA_xload-p1_LAT	PCA_xload-p2_LAT	OPLSDA_xload-p1_LAT	OPLSDA_xload-o1_LAT	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-ortho_LAT	OPLSDA_coef_LAT	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	PCA_xload-p1_MX2	PCA_xload-p2_MX2	OPLSDA_xload-p1_MX2	OPLSDA_xload-o1_MX2	OPLSDA_VIP-pred_MX2	OPLSDA_VIP-ortho_MX2	OPLSDA_coef_MX2	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_Sample	supp_BLC	supp_fold	supp_tstat	supp_pvalue	supp_blankMean_over_sampleMean	supp_pool_CV	supp_poolCV_over_sampleCV
M456.3325T12.4	c18acqui	M456.3325T12.4	456.332458587953	12.3971374694826			3995				0.433121564100682	0.418542923447548	0	0.252253677555643	0.261880048915155	0	-0.0138996683743234	-0.0219700005598916	-0.0265499763437433	-0.0313427372084245	1.81814563251701	1.96870575200525	-0.00182730452835144	E	E	E	0.0617755616422961	0.929820381383934	0	-0.125707257715401	0.594753758453063	0	0.0051956841872623	0.0226111611637641	-0.00611008419148459	-0.00513801027000406	0.408806837013028	0.30754620363295	-0.000291042691433692	E	E	E	456.330344312107	456.334010092023	12.3819765372907	12.406942177462	30	30	0	6.65428911362284	-13.8523500393528	3.84137166520304e-14	0.148995574576926	0.169519400622719	0.411073250896101
M278.6023T13.99	c18acqui	M278.6023T13.99	278.602313228127	13.9929989360203			4015				0.0202225977959802	0.977713418287483	0	-0.595721208742594	0.00369897287868419	1	0.026162716596388	0.00233050794281382	-0.00267775429064581	0.00733142951810123	0.18337294186097	0.460503094121195	-9.41449101546149e-05	E	E	E	-0.218531558387635	0.686140838343264	0	-0.708067399755331	0.00038197649917823	1	0.027156443083499	-0.00883054869742488	0.0109409967376609	0.0286771525397361	0.732028255245079	1.71653012180372	0.000850743392527547	E	E	E	278.601958023305	278.603421569909	13.9776270665475	13.9986454937815	15	15	0	9.9143391188251	-15.9220365373529	0	0.0978454590413272	0.186555042414286	0.51810222541932
M462.331T13.99_2	c18acqui	M462.331T13.99_2	462.331021748982	13.9857763908692			4019				0.516701096993154	0.495134419017044	0	-0.614398844548667	0.0501832433321309	0	0.0178644081479079	0.000223646723907768	-0.0266642434635318	0.00907193313569508	1.82597065887838	0.569827926236431	-0.00171158704917493	E	E	E	0.107943398434468	0.90071025949222	0	-0.4222064332209	0.166027748175817	0	0.0121807277106455	0.00320390657451037	-0.011128174474297	0.00257492329495112	0.744551738731629	0.154127345488478	-0.000341818908211887	E	E	E	462.329596308044	462.333756374099	13.9456786987212	14.0091332564407	19	19	0	3.08226658837346	-8.45104639491001	2.73949181117672e-06	0.329865242535765	0.144184138756794	0.346240015421106
M461.8296T13.99_1	c18acqui	M461.8296T13.99_1	461.829557805731	13.9916457217229			4020				0.436120490344813	0.650570501271285	0	-0.534400167114743	0.132171158707837	0	0.0147199074734434	-0.00076526360697874	-0.0208692781171983	0.00956304903703133	1.42913072205085	0.600675988211121	-0.00137115432712388	E	E	E	0.103294034452091	0.920719875880827	0	-0.411698883815315	0.2548850723363	0	0.0107791278075383	0.00108356641558869	-0.00916535099477446	0.000868810332962725	0.613225290006613	0.0520044347010528	-0.000285097509070973	E	E	E	461.82686615405	461.831818022683	13.9265149694905	14.0122563137757	49	48	0	3.87638390693165	-10.4423104304322	4.04121180963557e-14	0.25929766441772	0.147306517694813	0.31254703417846
M529.4577T13.99	c18acqui	M529.4577T13.99	529.457676817079	13.9915214139103			4023				0.0350617499717405	0.969110439007236	0	0.0939475114201116	0.788661558728767	0	-0.000778719819286335	0.0214672763658999	-0.00199204307528717	0.0236457560736658	0.136415353830348	1.48524156276391	-0.000148130636878663	E	E	E	-0.328489266889596	0.50494254130403	0	0.239420599311995	0.33267022510055	0	-0.0068476935998018	-0.0235155475799695	0.0221624406240145	0.0027978485355461	1.48282036188949	0.167470995624641	0.00125443326854828	E	E	E	529.45598235757	529.45997450731	13.8438606043683	14.0037359585234	12	10	0	5.47686602870813	-13.0465511623803	4.56517748048668e-08	0.177247395202326	0.240390187256163	0.741620229292111
M275.626T14.03	c18acqui	M275.626T14.03	275.625950593672	14.026153273482			4024				0.166661602587162	0.810972994765452	0	-0.815122854625836	3.74426811221769e-06	1	0.0253189543539454	-0.0268197939392873	-0.00982481935471876	-0.0203343206880674	0.672804832997902	1.277243076618	-0.000753042927965114	E	E	E	0.104450050761665	0.730410954092687	0	-0.783006775206628	2.35609557041653e-06	1	0.0265436860398351	0.0204152425605181	-0.0134280619843874	0.0144112234797995	0.898430099327073	0.862613509512283	-0.00043744867700239	E	E	E	275.625160544511	275.62675595963	14.0145553878637	14.0323186836279	28	28	0	34.8050317662008	-21.156355746229	0	0.0286896451160163	0.0756132170818672	0.223544001560395
M439.3148T14.02	c18acqui	M439.3148T14.02	439.314791909337	14.0170211450983			4028				0.430657638707238	0.66882557125601	0	-0.54180504948603	0.14744615872971	0	0.0141003351249931	-0.0034506378594799	-0.0190469740690922	0.00615757167436102	1.30433911759569	0.386770520171442	-0.00129343360315631	E	E	E	0.0615393405043037	0.958833233499455	0	-0.372588306301186	0.355370924573809	0	0.00969095724061562	0.0049457826435573	-0.00713412946978119	-0.00228003957065259	0.477322539589106	0.136476471870997	-0.000158156043248384	E	E	E	439.313869699285	439.316716095163	13.9922285178486	14.0329455144818	46	46	0	14.2439822572696	-13.3835347409392	0	0.070620584038147	0.146318742154209	0.311048312598664
M276.6241T14.02	c18acqui	M276.6241T14.02	276.624117265781	14.0248894370508			4031				0.178814001895303	0.817456730667632	0	-0.804181042901471	4.87505076567181e-05	1	0.0226250153484385	-0.0246305730189941	-0.0116629136360629	-0.0231709153334485	0.79867775455958	1.45541577919128	-0.000759909705643118	E	E	E	0.231614545011334	0.411645083434087	0	-0.925361649700747	1.67872641865062e-06	1	0.0270689958996585	0.0184138135852618	-0.0174249001116446	0.0184322811651406	1.16584617767412	1.10330221208951	-0.000807491474857273	E	E	E	276.623312346247	276.624411972252	14.020785763266	14.0273160062072	5	5	0	12.5336222910217	-17.6489092666487	0	0.0794048441286305	0.0664935033596415	0.173932670553069
M496.331T14.03	c18acqui	M496.331T14.03	496.331018366746	14.0254464362375			4033			0.000191966746#496.3308264#496.3308264#C24H48NO7P#([M+H]+ 2C13)_LPC 16a:1#Lyso-Glycerophosphocholines#NA#	0.198534164861879	0.764414250499365	0	-0.754736996487644	6.01871443544065e-05	1	0.0216350636467217	-0.0305669136274458	-0.0124237726252908	-0.0288420501273824	0.850781471350723	1.81163213690665	-0.000891679772235857	E	E	E	0.233431995707779	0.361372568627053	0	-0.838587218597121	2.33942995157257e-06	1	0.0272281583575827	0.0230525930073593	-0.0200143985294098	0.0114703488048564	1.33910150844226	0.686581389273196	-0.000888473013003098	E	E	E	496.32964448482	496.332222439836	14.0166500312481	14.031710317494	6	6	0	4.92023016063294	-10.7867323398168	2.03707955388488e-05	0.204316274903605	0.158397324096962	0.418062696478538
M860.5941T14.01	c18acqui	M860.5941T14.01	860.594133998394	14.0082630506787			4034				0.269764566974708	0.723038317785641	0	-0.389887172459094	0.159317222443164	0	0.0157348631092667	0.000717111756979058	-0.0162574041210494	0.0122903251206544	1.11330902581823	0.771982153254423	-0.00111285444193404	E	E	E	0.0982077498533709	0.858341793437735	0	-0.325965532547928	0.122313472986837	0	0.0127925921049544	0.0127277151628278	-0.0111070207097966	-0.00119232800471237	0.743136405769701	0.0713692523106322	-0.000442865540552171	E	E	E	860.591205660369	860.600537785351	13.9488946554942	14.0299023979274	16	16	0	4.34456043956044	-11.2506520066709	5.23525223172783e-10	0.228509932290032	0.221070564366378	0.605729819633632
M516.3071T14.02	c18acqui	M516.3071T14.02	516.307092346366	14.020785763266			4040				-0.0344354133148688	0.911366439164897	0	-0.518994198140851	0.00924403911220883	1	0.0184488230056909	-0.0182831121430571	0.00253298261958587	-0.0191755190304034	0.173458960091571	1.20445621458659	0.000169964893381319	E	E	E	0.043059296045536	0.922369456710898	0	-0.673556450669576	0.00123229402721066	1	0.0238585340626376	0.0129276650976835	-0.00631318880373612	0.0118455132100668	0.422395938491044	0.709037628653303	-0.000166524461541402	E	E	E	516.304529648494	516.307525417224	14.0158127329861	14.0329618676475	5	5	0	3.93682644628099	-15.0567116070745	0	0.253661166182504	0.0984640077903097	0.27485980441625
