variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	QC	Blanc	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M723T48	M723.1988T48	723.198753682669	723.194822988936	723.200654268241	48.23313389298	47.4625732929986	48.6807119422335	63	42	21	0	[1901][M]+		4													
M723T301	M723.2068T301	723.206824884135	723.206305080674	723.209829546738	301.38987804326	301.225477508057	301.405666817494	3	0	0	3	[1895][M+2]+		626													
M724T386_1	M723.6097T386_1	723.60969430555	723.605637006408	723.611904729981	386.377922847186	385.839687611316	387.502506709975	53	41	12	0		[M+H]+ 722.601	86													
M724T386_2	M723.8102T386_2	723.810166893648	723.805117483968	723.81229401835	386.326812476804	385.140794603014	387.21772498156	52	34	18	0		[M+H]+ 722.799	86													
M724T241_1	M723.9563T241_1	723.956293413638	723.952558962305	723.957802293359	240.877813042869	239.787760194841	241.883803031197	30	22	8	0		[3M+H+Na]2+ 474.631	71													
M724T386_3	M724.0104T386_3	724.010439986095	724.005988534414	724.012879552403	386.286705661439	385.458260168699	387.21772498156	40	28	12	0		[M+H-CH3]+ 738.028	86													
M724T886	M724.1484T886	724.148394156463	724.144585561344	724.150440775011	885.741248871608	885.130993042611	886.317555564154	45	29	13	3	[1900][M+1]+		2634													
M724T241_2	M724.157T241_2	724.157003488851	724.15384233936	724.159560415528	240.701685252533	238.594483909203	241.883803031197	25	21	4	0			71													
M724T48	M724.2017T48	724.201696944011	724.19849780764	724.203850785668	48.2325329624078	47.6188017065318	48.7168250598054	45	31	14	0	[1901][M+1]+		4													
M724T386_4	M724.2108T386_4	724.210766680394	724.206989201225	724.21266995244	385.977936621758	384.938687687175	387.286859615242	42	30	12	0			86													
M724T366	M724.3799T366	724.379921039907	724.376383493905	724.382676311063	366.43982318479	356.769608926402	367.13664832936	26	15	11	0			3838													
M725T367	M724.6299T367	724.629925958414	724.626364488786	724.632425060442	367.0612369152	366.169747299687	368.07015680518	27	14	13	0			3826													
M725T335	M724.7665T335	724.766518699264	724.764299399349	724.769286002764	334.659048716963	334.003045556083	335.17636127232	27	23	4	0		[M+H]+ 723.756	85													
M725T368	M725.0066T368	725.006569435152	725.003072377005	725.009966126133	367.964992641853	366.706528885923	372.35489064955	21	9	12	0			3834													
M725T886	M725.1458T886	725.145836213973	725.143011839878	725.148361638901	885.73253355063	885.130993042611	886.433874368623	34	24	7	3	[1900][M+2]+		2710													
M726T133_1	M726.0286T133_1	726.028617384215	726.025557985132	726.030457894902	132.678122464445	123.189228744726	141.890941953851	52	38	14	0		[M+H]+ 725.022	81													
M726T133_2	M726.363T133_2	726.363017740732	726.359127350065	726.364630059753	132.938313983601	128.878744813544	141.890941953851	53	38	15	0		[M+H]+ 725.351	81													
M726T1027	M726.4668T1027	726.466765428085	726.462991096552	726.46927061358	1027.06788166228	1026.36598980697	1028.02036991309	66	42	21	3	[1902][M]+		73													
M727T381_1	M726.67T381_1	726.67001189598	726.665193853968	726.671644417169	381.011971032147	380.136541111997	382.710880332752	34	22	12	0			3892													
M727T133	M726.6969T133	726.696920954411	726.693774006238	726.699007692529	132.562921179194	129.573864590744	135.236245432699	39	32	7	0			81													
M727T381_2	M726.8122T381_2	726.812205444687	726.808322107147	726.815588867066	380.962870500204	379.98566206671	382.151816693409	44	28	16	0		[M+H-CO]+ 753.781	106													
M727T381_3	M726.9556T381_3	726.955636394822	726.952112277314	726.957279615309	380.913135649474	380.038951599929	381.691129989956	34	21	13	0		[M+Na+K-H]+ 665.994	106													
M727T320_1	M727.0296T320_1	727.029580289776	727.026323309647	727.031866005048	320.277618455285	319.743020532246	321.02675501341	50	35	15	0			16													
M727T381_4	M727.0989T381_4	727.098863287221	727.09586656781	727.101745357483	380.777054040009	379.850309523788	381.721416185097	32	21	11	0			3893													
M727T320_2	M727.3639T320_2	727.363947675258	727.361031884126	727.365790779212	320.232348763596	319.388888555075	320.921054837554	52	36	16	0			16													
M727T278	M727.3832T278	727.383221091419	727.379601276942	727.385506874383	277.746161536582	276.883420035771	278.547561718598	55	35	20	0		[M+Na]+ 704.404	100													
M727T1027	M727.47T1027	727.470048600888	727.465826247722	727.472368802506	1026.99086244568	1026.32992467854	1028.13812809789	62	40	19	3	[1902][M+1]+		73													
M728T943_1	M727.5123T943_1	727.512257079382	727.508470912945	727.513410042429	942.797149098744	941.777736535641	943.673637481491	52	37	15	0			2711													
