variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot	inchi	inchikey	pubchem	chebi	hmdb	kegg	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	PCA_xload-p1_LAT	PCA_xload-p2_LAT	OPLSDA_xload-p1_LAT	OPLSDA_xload-o1_LAT	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-ortho_LAT	OPLSDA_coef_LAT	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	PCA_xload-p1_MX2	PCA_xload-p2_MX2	OPLSDA_xload-p1_MX2	OPLSDA_xload-o1_MX2	OPLSDA_VIP-pred_MX2	OPLSDA_VIP-ortho_MX2	OPLSDA_coef_MX2	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_Bio	supp_QC	supp_Blanc	supp_blankMean_over_sampleMean	supp_pool_CV	supp_poolCV_over_sampleCV	supp_poolDil_cor	supp_poolDil_pval
M556.8035T317_1	c18hyper	M556.8035T317_1	556.803530447385	316.803105312349		[M+H+HCOOH]+ 509.787	16														-0.736121988832858	0.173533389146135	0	-0.552707154907898	0.475130339318778	0	-0.0129549559095322	-0.0217603205125642	0.0100119447860341	0.0132126395522909	0.718474591388309	0.808223529008662	0.000335713697635971	E	E	E	0.0908946981049432	0.894380497811057	0	-0.427206982767981	0.511777361925653	0	-0.0108973068149642	0.0189732400051089	-0.0105927491427681	-0.000287680048902089	0.73122552623637	0.0173561821867584	-0.00013517647836964	E	E	E	556.80074934604	556.804520588073	315.960024516015	317.561825887337	37	27	10	0	0.000117999768020438	0.161084099723435	0.353180721700614	0.829086336715913	0.000855537520038262
M262.0998T317	c18hyper	M262.0998T317	262.099784647397	316.523447292904			16														-0.508256021309037	0.108126884099618	0	-0.13526358562298	0.75958267875962	0	-0.0132758298970889	-0.0162146968130006	0.0116510077821277	0.0113898192830595	0.836096606046314	0.696720734664185	0.000415104212740147	E	E	E	-0.159056873072164	0.807772921451821	0	-0.399249941531876	0.44816156001869	0	-0.0207454947714587	0.00409685866821688	0.00153975570606435	0.0188747138368956	0.106290506955982	1.13874067154231	0.000292872339899344	E	E	E	262.098633077454	262.100489584964	314.723166070311	318.135693445509	57	41	16	0	0.000120108829940691	0.228941047599924	0.461115904437285	0.984759831960495	6.31154973400392e-09
M580.4685T326_2	c18hyper	M580.4685T326_2	580.46851691584	325.938572540108		[3M+2H]2+ 386.308	16														1.38039944425564	1.55694131731539e-05	1	0.277221991808235	0.312594826843799	0	0.0206706811752306	-3.13764414280724e-05	-0.0268050920441903	-0.00246016794861684	1.92358008010993	0.150489659050779	-0.000872294438823859	E	E	E	0.152321318886457	0.840863706606053	0	-0.35351924874565	0.626364390071329	0	-0.00655005674282356	-0.00697218632767354	-0.00680791160471135	0.0137084176542433	0.469955313642487	0.827050034255934	-0.000210880486790525	E	E	E	580.465755038592	580.471361848407	316.648039191309	328.121560852474	47	31	16	0	0.00012097241621106	0.184492783928545	0.290055647460266	0.981125802387875	1.82760413450357e-08
M563.2558T317	c18hyper	M563.2558T317	563.255810692847	316.730292597746	[1584][M]2+		16														0.312528733546268	0.512177008957336	0	0.536233498449771	0.459556495953774	0	-0.0014246275807739	0.0211271523079689	-0.00370381773481998	0.014264126631031	0.265792410013446	0.872543500360561	-0.000164588029204852	E	E	E	0.265025067735376	0.793713539468112	0	0.6493239490886	0.435313401084122	0	0.0226224087862138	0.0071938113811995	-0.00339700981456883	-0.0290492179268117	0.234498170003779	1.75258423601071	-0.000304782219236787	E	E	E	563.253262375402	563.256899921376	316.064014879734	317.266423060516	54	35	19	0	0.000122681084519333	0.162081355824903	0.251814949872116	0.982914926355489	1.11410943685177e-08
M841.4484T314_2	c18hyper	M841.4484T314_2	841.448354374059	313.790971934135			16														1.51662392172198	0.000622177706887206	1	0.654613018068913	0.164045273705849	0	0.0199303923080545	0.0140031020366659	-0.0229273464008796	-0.00687488914672725	1.64530630052698	0.420540282335017	-0.000712150423771908	E	E	E	0.601825122451531	0.485247086251193	0	0.724173864975787	0.367772452346429	0	0.020910960995625	0.00720019674679521	-0.0153585404240879	-0.0235032333311767	1.06021172147682	1.41798640966107	-0.000679282479351641	E	E	E	841.444044847284	841.451527394543	312.876621001566	314.464498830043	49	33	16	0	0.000123558449158428	0.197171675138477	0.331819551842078	0.931617170570267	1.04914180606425e-05
M544.1083T324_2	c18hyper	M544.1083T324_2	544.10832787136	324.159309512489		[M+Na]+ 521.118	16														1.17659222057446	0.0342988227373754	1	-0.110946684428507	0.976623602815338	0	0.00853015252404184	-0.0214793372144281	-0.0175128219501364	0.00935409109347425	1.25675059776919	0.572194260224512	-0.000528616674841494	E	E	E	-0.224617800468714	0.890553887636316	0	-0.269030423680849	0.855716670497656	0	-0.0267629222742141	0.00292602945888442	-0.0039508921733775	0.0284454714570809	0.272733090309564	1.71615927792533	0.000176370900924547	E	E	E	544.106290683892	544.110218920104	323.135297011823	325.589690653413	46	31	15	0	0.000126637023891118	0.228552508102209	0.35353118907245	0.974721976393779	7.79077575754428e-08
M494.301T317	c18hyper	M494.301T317	494.301021656278	317.334706023676		[M+H-CH3]+ 508.312	16														-0.703065555534298	0.0253764719699699	1	-0.12241924665565	0.754258212380761	0	-0.021101482217608	0.00427676359857905	0.0148682082599777	0.0273686291669819	1.06696851436545	1.674152235965	0.000548803638797139	E	E	E	-0.0517520064692274	0.911774042419421	0	-0.214649542037279	0.501289174400777	0	-0.0117360561030438	-0.0143968031122466	0.0023236731801812	0.0233887418832753	0.16040492615077	1.41107896357232	0.000165441693383246	E	E	E	494.297925086477	494.303122107999	315.994083024353	319.058300565582	53	36	17	0	0.000128778092411965	0.133321500163041	0.371649796723493	0.991067051695771	4.41314054736349e-10
M538.9595T325_2	c18hyper	M538.9595T325_2	538.959532185679	324.776327082887		[M+K]+ 499.995 [M+H-NH3]+ 554.984 [M+H-NH3]+ 554.984	16														1.30510995299751	0.295824855894912	0	0.677010588777138	0.723119662941584	0	0.00268781029030501	-0.0135971292064764	-0.0104963421990571	0.0120725657042094	0.753235793215619	0.738484662283336	-0.000274410224839403	E	E	E	0.416817130962517	0.874360619509504	0	0.5207687983107	0.829362483456944	0	-0.0164188101412533	0.00421078546438786	-0.0100361734904943	0.0184442238098833	0.692804685835168	1.11276854255066	-0.000199749453022477	E	E	E	538.956832240734	538.960731482399	324.118652740599	325.611204062345	44	30	14	0	0.000129082147773085	0.174684201474766	0.263925146036676	0.965781703502954	3.48828371936522e-07
M449.7222T326	c18hyper	M449.7222T326	449.72216414425	326.014034812255		[M+K]+ 410.763	16														0.127038752180425	0.725827940297283	0	1.8203247814107	0.0203287057120379	1	-0.00280551727312095	0.024677675318218	-0.00188275112811173	0.0134436258039353	0.135109499339517	0.822353069341434	-4.40340437360957e-05	E	E	E	0.000512547314340139	0.961518176336201	0	1.35832842703525	0.0387647177531977	1	0.0152647658362993	-0.00737112151890413	0.00235011058980417	-0.01181392095418	0.162229920635519	0.712752118901709	-5.15026319391434e-07	E	E	E	449.720121081873	449.722983391768	325.503648479516	326.614475433379	43	30	13	0	0.000130329965460704	0.196441751678501	0.259653233018295	0.994654902703775	3.40530317681462e-11
M655.371T316	c18hyper	M655.371T316	655.370982007302	315.665048791131	[1779][M]2+		16														-0.398282723697088	0.421727893420603	0	0.685676852517842	0.248808129007744	0	-0.0086234000596539	0.0220012787067692	0.00662981057900898	0.0115466845621475	0.475766751468693	0.706316259384413	0.000242373532481287	E	E	E	-0.42161534920189	0.490612755265768	0	0.351366967526157	0.561532954026593	0	-0.00183596089114749	-0.0216637661539713	0.0137668726012637	0.0138250299234072	0.950337681635828	0.834085432770862	0.000644360587214664	E	E	E	655.368064462106	655.373072593989	314.029781825358	318.535041158016	40	24	16	0	0.000138754043947355	0.224775096488546	0.396503505227863	0.942288212570378	4.57440800502872e-06
