variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	QC	Blanc	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M268T445	M268.0121T445	268.012112611384	268.011919262036	268.01298188795	444.512861710323	443.371174045346	445.341212139235	3	0	0	3			520													
M268T158	M268.0359T158	268.035862415788	268.035461973913	268.036470895366	158.355339833846	156.331593667465	161.130424130763	37	21	16	0		[M+Cl+NaCOOH]- 165.078	17													
M268T606	M268.05T606	268.049993398751	268.049502837191	268.051001884508	605.963954986726	604.890909633237	606.987934843381	63	42	21	0			18													
M268T526	M268.0656T526	268.065611843464	268.065515943498	268.066557324443	526.086298816965	525.830514374377	526.400319522296	3	0	0	3	[326][M+1]-		826													
M268T304	M268.0771T304	268.077124122813	268.076835671815	268.078148828592	304.364409109727	301.148366346585	309.942140687709	63	42	21	0	[327][M+1]-		9													
M268T452	M268.1041T452	268.104146092964	268.10378655862	268.105068086178	451.672603179814	445.94438886818	453.942612379785	63	42	21	0		[M-H]- 269.109	2													
M268T408	M268.1123T408	268.112252398648	268.11192405524	268.113214541687	408.173058953885	406.646989271104	411.207453290392	45	24	21	0	[328][M+1]-		8													
M268T443	M268.1238T443	268.123785655831	268.123191710969	268.124582216644	442.984929587818	439.302346797111	444.941864913001	63	42	21	0	[329][M+1]-		5													
M268T90	M268.1556T90	268.155612640321	268.155220808331	268.15640704113	90.3012383089098	86.9696748654166	91.6292820336337	57	36	21	0			7													
M268T78	M268.2362T78	268.236203988161	268.23524721544	268.237440918442	78.2518038150239	77.4755099591798	80.1084223439989	63	42	21	0	[330][M+1]-		3													
M269T349	M268.7402T349	268.740191370957	268.739534245115	268.741013212973	348.618494669455	344.9635607144	351.68844763355	10	1	6	3		[M-H]- 269.751	11													
M269T1225	M268.7795T1225	268.77947275132	268.778964041643	268.780315921311	1225.34677326958	1219.91337415891	1244.40785563336	58	35	18	3			38													
M269T221	M268.9047T221	268.904737659013	268.904675536896	268.905427343923	221.368956382533	221.168278415006	223.215136382153	3	0	0	3			600													
M269T1013	M268.9123T1013	268.912254913987	268.911831604432	268.91307005845	1013.01869042219	1011.84212544487	1014.81934933044	46	37	9	0			30													
M269T1000	M268.9248T1000	268.924773580773	268.924378677624	268.925713717914	1000.37327614511	998.778242667286	1001.88405400659	63	42	21	0		[3M-H+Cl]2- 167.965	30													
M269T237	M268.9466T237	268.946633307477	268.946504066508	268.947321449359	237.202185272844	235.476423488744	238.389758841684	3	0	0	3			1171													
M269T545	M268.9836T545	268.983579250708	268.983159423577	268.984487955401	545.040726509667	542.517225804463	546.563598938766	45	26	19	0			967													
M269T643	M269.0341T643	269.034093071554	269.033728888154	269.035135730085	643.214258359728	639.191388298277	644.359405341287	61	41	20	0			47													
M269T109	M269.0458T109	269.045831317019	269.04501354681	269.046989853987	108.674674617257	107.370607488855	110.112047994017	63	42	21	0		[M+Cl]- 234.074	35													
M269T589	M269.0518T589	269.051803982063	269.05142107583	269.052845590905	589.481020056556	588.610158225475	590.193739821731	63	42	21	0		[3M-2H]2- 180.029	34													
M269T373	M269.0549T373	269.054858775337	269.054320732639	269.055760587318	372.945963930401	370.680439073358	375.990760422983	41	22	19	0			22													
M269T211	M269.0671T211	269.067116900431	269.066776875305	269.068051223166	210.844095673929	207.039264685519	212.921172701264	42	24	18	0			6													
M269T526	M269.0665T526	269.066467739376	269.066418405585	269.067326497916	525.830514374377	525.417522572969	527.045090393932	3	0	0	3	[326][M+2]-		827													
M269T304	M269.0775T304	269.077527587505	269.077207024591	269.078574615226	304.389787790324	296.943112633857	310.957943276657	64	42	21	0	[327][M+2]-		9													
M269T473	M269.0882T473	269.088174581765	269.087765154088	269.089080074819	472.529659990427	464.006308324592	476.966541792914	64	42	21	0			2													
M269T253	M269.0879T253	269.087907138244	269.087373234968	269.088878192826	253.303628162293	230.30632086824	262.264005404649	52	37	11	0		[M-H-C2H4]- 298.128	1													
M269T562	M269.0882T562	269.088191717765	269.087748785487	269.092695878756	561.764855851399	550.000710348225	578.33521966695	48	29	17	0		[M-H]- 270.094	15													
M269T452	M269.1075T452	269.107491449546	269.107092857786	269.10841321803	451.730338329931	446.173621057396	455.40029194914	63	42	21	0		[M-H-COCH2]- 312.127	2													
M269T79	M269.1314T79	269.13140904902	269.131101449284	269.132405064903	79.1771531827029	77.6792750234699	80.0412953172096	6	0	3	3	[331][M]-		345													
M269T176	M269.1512T176	269.151157529087	269.150894591889	269.152031284974	175.675489798884	173.09979852292	178.871638167741	43	30	12	0			17													
M269T89	M269.1769T89	269.176934910205	269.176096941347	269.177859818042	89.0618741897324	84.1317714628508	91.7279120199964	53	35	18	0			7													
M269T80	M269.2121T80	269.212082066203	269.211594336542	269.213390090518	80.0618081596292	79.4495182131171	81.2517380884567	66	42	21	3	[332][M]-		3													
M269T1208_1	M269.2126T1208_1	269.212558747682	269.212126956334	269.213415756972	1207.76180909491	1205.75801455675	1208.72324336729	66	42	21	3			38													
M269T78	M269.2491T78	269.249141677695	269.248806973838	269.250079057048	78.1984954059431	77.4257575614546	79.2593706015564	66	42	21	3	[330][M+2]-		3													
M269T1208_2	M269.2491T1208_2	269.249092338429	269.248676111778	269.249925728367	1207.77025814087	1205.75801455675	1208.76647033718	66	42	21	3	[333][M]-	[M-H-HCOOH]- 316.263	38													
M270T495	M270.0657T495	270.06566790531	270.0653091097	270.066608699509	494.694534568566	491.979359874282	495.687205641922	62	41	21	0		[M-H-CH2]- 285.098	2													
M270T454	M270.0769T454	270.076931593571	270.076548117581	270.077870124527	453.671254392914	448.256900539393	467.543112948608	64	39	20	0		[M-H-CH2]- 285.098	2													
M270T473	M270.0915T473	270.091524347324	270.091119862018	270.09249383367	472.507382511833	461.895208600932	478.187022335334	63	42	16	1			2													
M270T325	M270.0986T325	270.098626940904	270.098300859532	270.099613617178	325.172804888482	320.389363193678	327.503175265838	50	36	14	0	[327][M+3]-		9													
M270T452	M270.1079T452	270.107933974353	270.10694911366	270.111891917403	452.3110175926	449.911276375552	454.597845625433	16	10	3	3	[334][M]-	[M+Cl]- 235.138	2													
M270T445	M270.1198T445	270.119794514408	270.119415693586	270.120740192579	444.558086518325	443.271644435116	445.660126927406	63	42	21	0	[335][M]-	[M-H-CO]- 299.119	5													
M270T92	M270.1246T92	270.124580948319	270.117900656806	270.126071938169	91.7945648905982	85.7141971698589	97.4370678544826	68	40	20	3	[336][M]-		7													
