variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	QC	Blanc	Bio	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M194T453	M194.0169T453	194.01687439644	194.016593215574	194.01738649389	452.867731826147	449.932167653046	455.328007952199	46	14	0	32	[188][M+1]-		3													
M194T611	M194.0274T611	194.027381783664	194.027093478926	194.027780556679	611.406873148727	610.231872212706	613.427106215513	66	24	0	42	[185][M+3]-		9													
M194T385	M194.0422T385	194.042195724343	194.041920508297	194.042690304411	385.0660896464	383.77102849965	387.997937976399	61	24	0	37		[M+Cl]- 159.085	6													
M194T556	M194.039T556	194.038959501298	194.03863918689	194.039353800897	555.702790151324	554.410905096113	557.457066982399	53	18	0	35	[189][M+1]-		4													
M194T289	M194.0462T289	194.046177772423	194.045888073557	194.046573107329	288.864433886811	281.63372430394	291.548907229718	49	21	0	28			212													
M194T401	M194.0592T401	194.059192108715	194.058891323032	194.059514378356	400.972958960161	399.402223778263	406.017487038595	60	19	0	41		[M+Cl]- 159.085	6													
M194T355	M194.0687T355	194.068704364588	194.068382220797	194.069125971178	354.605020585714	351.355336842029	357.993890362965	50	17	0	33			406													
M194T1208	M194.0825T1208	194.082549348935	194.082053928552	194.083022417503	1208.49949654853	1207.31322673341	1209.40066280805	67	22	3	42			33													
M194T439	M194.0956T439	194.095599002174	194.093272597138	194.096070970765	439.347131563913	436.298943869415	449.591524688897	55	16	1	38		[M+2Cl]2- 318.237	8													
M195T926	M194.9062T926	194.9061643141	194.905865456149	194.9065722023	925.784877675385	922.800907164941	928.821857502467	57	16	1	40		[M+Cl]- 159.94	20													
M195T682	M194.9061T682	194.906135048576	194.905641912903	194.906500997457	682.109059206817	653.931061775107	689.965137175958	68	24	2	39	[190][M]-		38													
M195T964	M194.9062T964	194.906175272864	194.905837596308	194.906473361447	964.037532984483	956.101923043632	975.485037953209	48	12	0	34			546													
M195T875	M194.9062T875	194.906164119042	194.905663284225	194.90655850855	875.261972938664	856.641124384145	900.182212641839	77	22	1	37			583													
M195T603	M194.9277T603	194.92767433685	194.927231229795	194.928015249922	603.303860810051	602.36199672146	603.855684145046	68	24	2	42	[191][M]-	[2M-H]- 97.9675 [M-H]- 195.936	10													
M195T1029	M194.9371T1029	194.937116447793	194.936833421104	194.937488270976	1028.7706955344	1027.92719013528	1031.766487741	64	22	0	42		[M-H+HCOOH]- 149.935	24													
M195T1033	M194.9496T1033	194.949567407627	194.949018056403	194.949939979749	1033.05860681545	1023.23399138836	1037.74523186859	67	24	1	42		[M-H+NaCOOH]- 127.974	24													
M195T917	M194.9525T917	194.952483622914	194.947349211992	194.952865410704	916.533223708335	912.514391702359	936.68904083892	70	24	3	42		[M-H]- 195.961	20													
M195T961	M194.9525T961	194.952452236188	194.952109932509	194.952872397165	961.254552218487	954.745028232706	970.904946350648	39	8	0	31			302													
M195T89	M194.9889T89	194.98891390546	194.988443601755	194.989371368367	88.9379524296536	88.3814673411673	89.7025978536293	45	10	0	35			11													
M195T454	M195.0107T454	195.010666068065	195.010387093418	195.011064384751	453.881638200671	449.932167653046	459.743071996514	63	21	0	42	[188][M+2]-		3													
M195T556	M195.0148T556	195.014792332489	195.014521472301	195.015097180089	556.041251800103	555.514784504182	556.957502833995	66	24	0	42		[M-H-C5H8O4]- 328.065	4													
M195T335	M195.0301T335	195.030144276811	195.029797141103	195.030528929633	335.011513318353	331.87934450297	339.260353061255	64	24	0	40			21													
M195T516	M195.0302T516	195.030210408891	195.029889805331	195.030518243454	516.174921906388	514.877061313686	520.065787081484	55	19	0	36			398													
M195T380	M195.0263T380	195.026261398759	195.025993975094	195.030285465404	380.247873068996	378.062424000473	394.469680448607	33	20	0	13			32													
M195T192	M195.0336T192	195.033555968968	195.033277642735	195.033933762111	192.010113596535	187.239029948361	200.870878674824	66	24	0	42			630													
M195T503	M195.0513T503	195.051278112734	195.051006690104	195.05169643986	502.883799764493	500.94818748467	504.071120781061	63	24	0	39	[192][M]-		27													
M195T480	M195.0512T480	195.051215897497	195.050795923288	195.051640669088	479.643578778648	467.926071103945	489.400973297113	69	24	3	42	[193][M]-		3													
M195T289	M195.0513T289	195.051271889201	195.050993065836	195.051679498215	288.752518735174	285.21087863322	301.792596617449	66	24	0	42		[M+Cl]- 160.079	12													
M195T542	M195.0513T542	195.051316071504	195.050986208131	195.051703536182	542.462808348912	541.084393501919	543.814269613062	42	19	0	23			14													
M195T633	M195.0866T633	195.08658967672	195.086287892159	195.086941432406	632.715898482782	627.831239677912	636.43328669283	66	24	0	42		[M-2H+Na]- 174.111	26													
M195T82	M195.1393T82	195.139329824781	195.139035751781	195.13969783642	82.026789298323	81.2560432966441	83.0935219890028	66	24	0	42			2													
