variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	QC	Blanc	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M222T163_34	M221.9286T163_34	221.928567258463	221.923950019762	221.933633149747	162.684834641798	159.761998096248	164.870832080414	35	23	11	1		[M+Na+NH3]+ 181.916	12													
M222T163_35	M221.9386T163_35	221.938607601587	221.93450792479	221.943487025628	162.914439036873	159.42721915422	164.197425162202	29	17	11	1		[M+Na+NH3]+ 181.916	12													
M222T163_36	M221.9478T163_36	221.947843115993	221.943805016793	221.953479676173	162.626523322474	159.42721915422	164.61134473799	36	25	11	0			12													
M222T163_37	M221.9638T163_37	221.963782324199	221.958827486872	221.968409327556	162.819345991383	159.179635535362	164.34887987432	38	23	14	1		[M+Na+NH3]+ 181.951	12													
M222T163_38	M221.9808T163_38	221.980776951126	221.974076158954	221.98353002068	162.811875814357	160.120932536515	164.11607313202	43	29	13	1		[M+H-CH2]+ 234.995 [M+H-CH2]+ 234.995	12													
M222T48	M221.9889T48	221.988898796573	221.98804154986	221.993664060212	48.1535350768541	42.2108049586434	53.4273865631406	61	42	17	1			1539													
M222T163_39	M221.9964T163_39	221.996403999359	221.988802011348	221.99849076422	162.684834641798	147.489436817533	164.870832080414	45	31	14	0		[M+H]+ 220.989 [M+H]+ 220.989	12													
M222T54	M222.0069T54	222.006881442704	222.006035795853	222.01177464808	53.7325944310129	50.740538893006	54.2646009863343	53	40	12	1			33													
M222T163_40	M222.0142T163_40	222.01424020812	222.008754819401	222.018386444407	162.81987403566	159.915813043987	164.870832080414	44	32	11	1			12													
M222T163_41	M222.0293T163_41	222.029302414536	222.024147708425	222.033062164618	162.511368443439	160.045919495962	164.870832080414	34	21	12	1		[M+Na+CF3COOH]+ 65.0514	12													
M222T163_42	M222.0391T163_42	222.039052119271	222.034469370051	222.043572402042	162.933210765228	159.42721915422	164.197425162202	27	21	6	0		[M+Na+CF3COOH]+ 65.0514	12													
M222T163_43	M222.0476T163_43	222.047575323067	222.043870652173	222.052876233954	162.785508903612	159.98383405126	164.870832080414	40	24	15	1		[M+Na]+ 199.066	12													
M222T163_44	M222.0583T163_44	222.05827087884	222.05511392744	222.06372053328	162.816578282136	159.915813043987	164.61134473799	36	24	11	1		[M+Na]+ 199.066	12													
M222T163_45	M222.0758T163_45	222.075797201854	222.068931706723	222.078211327582	163.16798873878	159.761998096248	173.938960346809	54	35	16	1			12													
M222T131	M222.0806T131	222.080606845809	222.079504615216	222.081236706906	131.194397421319	129.660881368305	132.733688541802	59	41	18	0			130													
M222T279	M222.0807T279	222.080662865712	222.079739896983	222.081297685146	278.793350392332	278.06010769431	279.540786774132	56	42	14	0			5191													
M222T62	M222.0802T62	222.080180106065	222.079463465741	222.082592365012	62.3416963792803	61.971733801164	68.8360137285618	53	37	15	1		[M+H-H20]+ 239.084	24													
M222T77	M222.0797T77	222.079674000016	222.078965116239	222.080326828544	77.2957792553086	76.0381545262969	77.8441851200431	47	28	19	0		[M+H+CF3COOH]+ 87.0785	1													
M222T253	M222.0807T253	222.080667000319	222.080092798442	222.081272283801	252.721481913394	251.632950692851	253.971016667333	31	20	11	0			56													
M222T556	M222.0923T556	222.09225934091	222.090821299962	222.09284114534	555.538908717075	554.744550038207	556.296513743373	64	42	21	1			5													
M222T87	M222.0964T87	222.096385114576	222.095504420253	222.097006214967	87.38812771835	86.506469005033	87.9892835792586	55	39	16	0	[320][M+1]+		3172													
M222T163_46	M222.0938T163_46	222.093778905751	222.088829700476	222.098546384104	162.831670746402	159.559736316455	164.61134473799	42	28	14	0		[M+K]+ 183.129	12													
M222T677_2	M222.1046T677_2	222.104568490968	222.103975222024	222.105106765999	677.490638163924	675.000501438341	678.098933073247	45	33	12	0	[321][M+2]2+		72													
M222T163_47	M222.1124T163_47	222.112357774544	222.108993510512	222.117379698277	163.20130905098	159.761998096248	165.378718945501	54	37	17	0			12													
M222T143	M222.1229T143	222.122919596705	222.122295974362	222.123594373649	143.026526740429	141.847154412374	144.088760800082	47	36	11	0	[317][M+2]+		95													
M222T163_48	M222.1291T163_48	222.129056101203	222.124287169945	222.133685378734	162.811875814357	159.915813043987	164.870832080414	39	28	11	0		[M+Na+NH3]+ 182.118	12													
M222T72	M222.1339T72	222.133942638408	222.133115037408	222.134523335065	72.3820911095834	70.3292420110305	73.2507363633522	61	41	20	0			1													
M222T441	M222.1474T441	222.147427189811	222.145949918285	222.148107646593	441.44667531851	439.652437762556	442.221026005166	64	42	21	1	[324][M]+		3485													
M222T105	M222.1442T105	222.144239593284	222.142982217436	222.144980940546	105.184229995519	99.4035956277365	105.642009786598	6	3	0	3			5136													
M222T163_49	M222.1483T163_49	222.148290093512	222.143812197004	222.153413296911	162.748736612964	157.810084969232	164.61134473799	38	22	14	2		[M+Na+NH3]+ 182.137	12													
M222T546	M222.1555T546	222.155518758867	222.153898779974	222.156041186615	546.016819702424	538.880910630235	554.24982772638	27	15	9	3	[322][M+1]+		5													
M222T163_50	M222.1655T163_50	222.165465878752	222.159107811588	222.168721907162	162.630294740261	159.42721915422	164.213198813581	40	22	18	0			12													
M222T483_1	M222.171T483_1	222.170994206645	222.169379671834	222.171455302008	482.8943946633	482.084628712907	484.450243185105	36	27	9	0			594													
M222T163_51	M222.1738T163_51	222.173825751312	222.16898971878	222.178256109856	162.811875814357	160.73657806712	165.872219709605	25	21	3	1			12													
M222T163_52	M222.1843T163_52	222.184261853862	222.178883924356	222.188693855931	162.721773854268	158.939617844183	164.61134473799	36	21	15	0			12													
M222T529	M222.1861T529	222.186131888936	222.185402966684	222.186502706955	528.599494966816	527.034896290409	532.145132496393	28	21	7	0			1998													
M222T49	M222.1902T49	222.190210334075	222.189410277747	222.190840092192	48.8575649704439	48.004020321027	49.3029909723352	52	37	15	0	[323][M+1]+		1540													
M222T163_53	M222.1993T163_53	222.199295994138	222.193764339705	222.203739269157	162.821280749915	159.915813043987	164.34887987432	35	26	9	0			12													
M222T163_54	M222.2086T163_54	222.208591247932	222.203876165575	222.212903649011	162.861180543337	159.42721915422	164.870832080414	28	16	11	1		[M+Na]+ 199.225	12													
M222T483_2	M222.2225T483_2	222.222542337815	222.2209530897	222.223350326424	483.200716127975	481.48800918305	484.267200819445	43	26	15	2			570													
M222T163_55	M222.2179T163_55	222.21792507713	222.213796912841	222.223661839286	162.775797050144	159.761998096248	164.128708780849	40	28	11	1		[M+Na]+ 199.225	12													
M222T163_56	M222.2341T163_56	222.234110905129	222.229043126148	222.238631319085	162.852382449841	160.254863707863	164.870832080414	36	25	11	0			12													
M222T163_57	M222.2496T163_57	222.249632535025	222.244642539916	222.252926293463	162.834966499926	159.179635535362	164.102820256647	36	26	9	1			12													
M222T163_58	M222.2691T163_58	222.269051248252	222.263816039198	222.273723834761	162.816638809424	159.664287387443	164.870832080414	42	27	15	0		[M+H-CH2]+ 235.283	12													
M222T163_59	M222.2828T163_59	222.282817501009	222.279501316759	222.288561387629	163.094673035324	160.120932536515	164.870832080414	30	21	8	1		[M+H-CH2]+ 235.283	12													
M222T163_60	M222.2928T163_60	222.292834325429	222.288950320018	222.298666176133	162.821280749915	159.501581061016	163.84007352106	37	23	13	1		[M+H+NH3]+ 204.264	12													
M222T162	M222.3183T162	222.318284865187	222.31420168548	222.323529961929	162.381268464882	159.501581061016	164.870832080414	38	26	11	1			12													
M222T163_61	M222.3335T163_61	222.333494243336	222.32885935002	222.338049552082	162.800831617258	159.790605165088	165.368864596824	38	30	7	1		[M+H]+ 221.332	12													
M222T163_62	M222.3437T163_62	222.343739867326	222.338765376968	222.348645560813	162.738400610591	159.915813043987	164.870832080414	34	21	13	0		[M+H]+ 221.332	12													
M222T163_63	M222.359T163_63	222.359038359422	222.353803244368	222.363420427856	162.770773221452	160.524982355842	164.61134473799	38	28	10	0		[M+K]+ 183.397	12													
M222T163_64	M222.3828T163_64	222.382768170871	222.378863033029	222.388654106206	162.747130592635	159.761998096248	164.61134473799	39	27	12	0			12													
M222T163_65	M222.3939T163_65	222.393921942315	222.389301881592	222.398643003324	163.004154764982	159.42721915422	164.213198813581	32	20	11	1		[M+H+NH3]+ 204.357	12													
M222T163_66	M222.4039T163_66	222.403929838792	222.398885992723	222.408409510362	162.712864994176	159.179635535362	164.870832080414	38	24	14	0		[M+Na+NH3]+ 182.393	12													
M222T163_67	M222.4141T163_67	222.41405745149	222.408921129003	222.418151655843	162.851465678447	159.761998096248	165.368864596824	37	25	11	1		[M+Na+NH3]+ 182.393	12													
M222T163_68	M222.4285T163_68	222.428513287176	222.424049677299	222.433247276086	162.686917608266	159.017250438999	164.11607313202	39	25	13	1			12													
M222T163_69	M222.4393T163_69	222.439314351965	222.434578183527	222.443554705676	162.833869491456	159.179635535362	164.870832080414	33	23	10	0		[M+H+NH3]+ 204.413	12													
M222T163_70	M222.4489T163_70	222.448902001596	222.443960212202	222.453707174915	162.748355228078	159.98383405126	164.870832080414	36	23	12	1		[M+H+NH3]+ 204.413	12													
M222T163_71	M222.4688T163_71	222.468805447649	222.463829540783	222.473515079744	162.774882642813	159.761998096248	164.61134473799	36	24	11	1		[M+K]+ 183.508	12													
M222T163_72	M222.4788T163_72	222.478838869937	222.474050176414	222.483527838794	162.836373214181	159.42721915422	164.34887987432	34	22	12	0		[M+Na+NH3]+ 182.466	12													
M222T163_73	M222.4885T163_73	222.488500034155	222.483774352591	222.492737726382	162.822872652907	157.286892903328	164.870832080414	32	23	7	2		[M+Na+NH3]+ 182.466	12													
M222T163_74	M222.4985T163_74	222.498524743716	222.49540673159	222.503501631552	162.69472521956	159.915813043987	164.11607313202	30	19	11	0		[M+Na+CF3COOH]+ 65.5201	12													
M223T163_1	M222.5087T163_1	222.508717981597	222.504063959461	222.513697482436	162.783001502596	159.98383405126	164.870832080414	35	21	13	1		[M+Na+CF3COOH]+ 65.5201	12													
M223T163_2	M222.5235T163_2	222.523478050692	222.518752723394	222.528589384004	162.774882642813	160.468983288415	164.870832080414	38	26	12	0		[M+Na+NH3]+ 182.514	12													
